,x,y,cluster_id
0,-0.03085565294981387,0.12098755844423344,0
1,0.019231863394025425,0.1458128927266822,0
2,0.016394397682728552,0.15138784220136278,0
3,-0.04946080617851905,-0.011367258373263966,1
4,-0.058058557891223744,-0.020957040497698216,1
5,-0.008765696040602036,0.12751584134975744,0
6,-0.02663509526115681,0.07997466442773583,0
7,-0.07256507437367356,-0.08380399921350912,1
8,-0.07561537054139408,-0.08925506066020081,1
9,-0.07635741161943224,-0.11619481720628685,1
10,-0.06892956037089933,-0.1098480676677438,1
11,-0.0804157013547171,-0.12108757614264816,1
12,-0.06576687944847423,-0.046464451779805176,1
13,-0.06371996621204089,-0.07972733639649938,1
14,-0.04120128945780068,0.07587945162571716,0
15,0.005850538798604608,0.001957761170918986,1
16,0.005451713597655549,0.11239754931984228,0
17,-0.026315224988625503,0.09522479748751662,0
18,-0.05457526565257902,-0.03181058925487238,1
19,-0.0642696521036717,-0.056903533590365526,1
20,-0.06178360339845307,-0.05856055249064136,1
21,-0.05393464943291415,-0.03652462852611615,1
22,-0.05178112007810302,0.005160446650400573,1
23,0.168702653591912,-0.05351873448769465,2
24,0.014445284076711048,0.1193350004556841,0
25,-0.04184467306623279,-0.0135468551621365,1
26,-0.016516564544255385,-0.02535179937668406,1
27,-0.00743734909683231,-0.009261023033148906,1
28,0.1487369344197032,-0.02530252328544806,2
29,0.10548981990462049,-0.005189019901857411,-1
30,0.16870265359191197,-0.05351873448769461,2
31,-0.032273038176479515,0.0020057487478830002,1
32,-0.02931337509014137,0.017250567656661754,1
33,0.18588265057793335,-0.06914657970531284,2
34,0.18123996019560956,-0.06437767531064024,2
35,0.13477996954215735,-0.053940937154837255,2
36,-0.023845486462840407,0.11734376731360495,0
37,-0.005987239074294689,0.14262717782629014,0
38,0.035687239026498084,0.08768553749055659,0
39,-0.058801079996296746,-0.07001136486641167,1
