,x,y,cluster_id
0,0.06553649865277272,-0.024451874971919314,0
1,0.06799764120772911,-0.040797644270766806,0
2,0.0321877062404479,0.029973798376209157,2
3,0.04828198731406372,-0.0005007655028002,0
4,0.07044403405236445,-0.043216764164503714,0
5,0.0763116642298128,-0.05648403678779432,0
6,0.061462699145356015,-0.003908458158001922,0
7,0.08206982922314386,-0.06478554077664372,0
8,0.08403437886343401,-0.06711405850747991,0
9,0.06491888402788117,-0.05403813640182203,0
10,0.05869401476791403,0.0006674488473193598,0
11,-0.0629074723775304,-0.04757101771243747,1
12,-0.06614644001314282,-0.062018546466566266,1
13,-0.0018547341950802749,-0.01467475654206072,-1
14,-0.024679059014705344,0.04717114025043296,2
15,0.05660030207168585,-0.011427718119524576,0
16,0.05990398924819483,-0.028077033235803704,0
17,0.05536643955514783,0.00041107470741117704,0
18,-0.06638524611151672,-0.055465258900944066,1
19,-0.045410908429926095,0.021937491508910594,2
20,-0.05731133072069125,0.004620820414955033,2
21,-0.07106583990209062,-0.03202340809442495,1
22,-0.002607138446371425,0.12952218090129078,3
23,-0.02377794123642357,0.07697388111252892,2
24,0.003915291107749305,0.08081925773321516,2
25,-0.07345434311452266,-0.030922455922815933,1
26,-0.08005793457586773,-0.06344558939514788,1
27,-0.07051564256844317,-0.036251193430517796,1
28,-0.008550713954121752,0.13496586679192382,3
29,0.017818342338196003,0.08401278996906728,2
30,0.02430990445243509,0.05568703777186866,2
31,-0.03028428012078978,0.028234481872538967,2
32,-0.014248219040307326,0.032664340022157345,2
33,-0.03449244109454296,0.001066801479745458,2
34,-0.07366127362513585,-0.02853661166680374,1
35,-0.07651226635900898,-0.07731971917582108,1
36,-0.003230792389150469,0.12833538017043794,3
